game_id,timestamp,secret_word,winner_side,mister_white_player,mister_white_provider,mister_white_model,eliminated_player,eliminated_provider,eliminated_model,total_votes_cast,vote_counts_json
58,2025-09-17T00:37:22.515317,France,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 4, 'Sarah': 1}"
59,2025-09-17T00:37:31.581884,circuit,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,"{'Emily': 3, 'Martin': 1, 'Lucas': 1}"
60,2025-09-17T00:37:40.077277,ring,mister_white,Emily,mistral,open-mixtral-8x22b,Sarah,mistral,mistral-tiny,5,"{'Sarah': 4, 'Emily': 1}"
61,2025-09-17T00:38:06.844683,file,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,{'Emily': 5}
62,2025-09-17T00:38:20.409567,terminal,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 4, 'Sarah': 1}"
63,2025-09-17T00:38:29.816589,token,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,"{'Sarah': 1, 'Martin': 2, 'John': 1, 'Lucas': 1}"
64,2025-09-17T00:38:40.497508,channel,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
65,2025-09-17T00:38:48.220802,model,mister_white,Emily,mistral,open-mixtral-8x22b,Sarah,mistral,mistral-tiny,5,"{'Sarah': 3, 'John': 2}"
66,2025-09-17T00:38:58.625706,volume,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Emily': 1, 'Lucas': 4}"
67,2025-09-17T00:39:13.813635,Generosity,mister_white,Emily,mistral,mistral-medium-latest,Martin,mistral,mistral-large-latest,5,"{'Martin': 3, 'Emily': 2}"
68,2025-09-17T00:39:24.365726,Generosity,mister_white,Emily,mistral,mistral-large-latest,Martin,mistral,mistral-tiny,5,"{'Martin': 3, 'Emily': 1, 'Sarah': 1}"
69,2025-09-17T00:39:34.743313,medium,mister_white,Emily,mistral,mistral-tiny,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 4, 'Sarah': 1}"
70,2025-09-17T00:39:42.088413,bluff,mister_white,Emily,mistral,open-mixtral-8x22b,Lucas,mistral,mistral-small-latest,5,"{'Sarah': 2, 'Lucas': 3}"
71,2025-09-17T00:40:29.561402,bark,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Sarah': 2, 'Lucas': 3}"
72,2025-09-17T00:40:42.306999,charge,mister_white,Emily,mistral,mistral-medium-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 4, 'John': 1}"
73,2025-09-17T00:41:48.802456,Generosity,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 3, 'Martin': 2}"
74,2025-09-17T00:43:28.145366,mole,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,"{'Emily': 3, 'Lucas': 2}"
75,2025-09-17T00:43:37.163138,phase,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,"{'Emily': 4, 'Lucas': 1}"
76,2025-09-17T00:44:19.343842,channel,mister_white,Emily,mistral,mistral-small-latest,Lucas,mistral,mistral-tiny,5,"{'Sarah': 1, 'Lucas': 4}"
77,2025-09-17T00:45:05.424959,bond,citizens,Emily,mistral,mistral-medium-latest,Emily,mistral,mistral-medium-latest,5,"{'Emily': 4, 'Sarah': 1}"
78,2025-09-17T00:45:24.062290,organ,mister_white,Emily,mistral,mistral-large-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Martin': 1, 'Emily': 1, 'Sarah': 2, 'John': 1}"
79,2025-09-17T00:45:32.890896,seal,mister_white,Emily,mistral,mistral-tiny,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 3, 'Sarah': 1, 'Emily': 1}"
80,2025-09-17T00:46:51.105140,spring,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
81,2025-09-17T00:47:02.136186,mole,mister_white,Emily,mistral,mistral-small-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 3, 'Emily': 2}"
